Name,Code,Price,PER,PBR,PSR,Year
CJ프레시웨이,051500,"16,400",-13.52,0.72,0.07,2020
EDGC,245620,"14,700",NAN,NAN,NAN,2020
GST,083450,"17,000",5.09,NAN,0.77,2020
GS홈쇼핑,028150,"128,100",7.29,0.68,0.67,2020
ITX-AI,099520,"2,495",NAN,NAN,NAN,2020
JW신약,067290,"5,900",NAN,NAN,NAN,2020
KB오토시스,024120,"6,240",NAN,NAN,NAN,2020
KH바텍,060720,"20,400",37.25,2.33,2.16,2020
SK5호스팩,337450,"2,005",NAN,NAN,NAN,2020
SK6호스팩,340350,"2,000",NAN,NAN,NAN,2020
THE E&M,089230,624,NAN,NAN,NAN,2020
TJ미디어,032540,"2,675",NAN,NAN,NAN,2020
YW,051390,"3,660",NAN,NAN,NAN,2020
갤럭시아컴즈,094480,"3,840",NAN,NAN,NAN,2020
경창산업,024910,"1,720",NAN,NAN,NAN,2020
고려시멘트,198440,"2,945",NAN,NAN,NAN,2020
골프존,215000,"65,900",10.55,1.84,1.43,2020
교보8호스팩,307280,"2,165",NAN,NAN,NAN,2020
국순당,043650,"4,635",NAN,NAN,NAN,2020
그리티,204020,"2,995",10.23,0.76,0.43,2020
나노브릭,286750,"22,200",NAN,NAN,NAN,2020
나스미디어,089600,"33,100",13.0,1.61,2.52,2020
네오티스,085910,"3,800",NAN,NAN,NAN,2020
네이처셀,007390,"9,610",NAN,NAN,NAN,2020
녹십자셀,031390,"40,250",135.4,5.64,11.89,2020
뉴인텍,012340,"2,965",NAN,NAN,NAN,2020
뉴프렉스,085670,"2,350",NAN,NAN,NAN,2020
대봉엘에스,078140,"10,800",NAN,NAN,NAN,2020
대유,290380,"12,300",NAN,NAN,NAN,2020
대유에이피,290120,"6,480",NAN,NAN,NAN,2020
대주산업,003310,"1,725",NAN,NAN,NAN,2020
대한그린파워,060900,990,NAN,NAN,NAN,2020
대한약품,023910,"32,050",NAN,NAN,NAN,2020
동구바이오제약,006620,"23,650",NAN,NAN,NAN,2020
동방선기,099410,"3,080",NAN,NAN,NAN,2020
디에이테크놀로지,196490,"1,715",NAN,NAN,NAN,2020
디에이피,066900,"3,850",NAN,NAN,NAN,2020
디엔에이링크,127120,"17,800",NAN,NAN,NAN,2020
디엔에프,092070,"14,100",NAN,NAN,NAN,2020
디오,039840,"31,250",22.15,2.95,3.86,2020
