Name,Code,Price,PER,PBR,PSR,Year
동화약품,000020,"23,150",NAN,NAN,NAN,2020
KR모터스,000040,711,NAN,NAN,NAN,2020
경방,000050,"10,350",NAN,NAN,NAN,2020
메리츠화재,000060,"12,950",5.22,0.56,NAN,2020
삼양홀딩스,000070,"62,400",NAN,NAN,NAN,2020
하이트진로,000080,"34,900",21.83,2.24,1.07,2020
유한양행,000100,"64,900",21.62,2.41,2.77,2020
CJ대한통운,000120,"169,500",33.62,1.03,0.35,2020
하이트진로홀딩스,000140,"16,250",NAN,NAN,NAN,2020
두산,000150,"46,300",-4.31,0.13,0.04,2020
성창기업지주,000180,"1,615",NAN,NAN,NAN,2020
대림산업,000210,"78,200",3.24,0.36,0.26,2020
유유제약,000220,"16,200",NAN,NAN,NAN,2020
일동홀딩스,000230,"9,170",NAN,NAN,NAN,2020
한국테크놀로지그룹,000240,"16,650",14.47,0.45,1.95,2020
기아자동차,000270,"46,000",12.66,0.62,0.33,2020
대유플러스,000300,799,NAN,NAN,NAN,2020
노루홀딩스,000320,"9,140",6.75,0.21,0.14,2020
한화손해보험,000370,"2,910",NAN,NAN,NAN,2020
삼화페인트공업,000390,"4,910",NAN,NAN,NAN,2020
롯데손해보험,000400,"1,580",NAN,NAN,NAN,2020
대원강업,000430,"4,130",NAN,NAN,NAN,2020
조선내화,000480,"73,000",NAN,NAN,NAN,2020
대동공업,000490,"6,460",NAN,NAN,NAN,2020
가온전선,000500,"21,150",NAN,NAN,NAN,2020
삼일제약,000520,"20,750",NAN,NAN,NAN,2020
흥국화재,000540,"2,510",NAN,NAN,NAN,2020
CS홀딩스,000590,"53,900",NAN,NAN,NAN,2020
동아쏘시오홀딩스,000640,"136,000",14.83,1.06,1.02,2020
천일고속,000650,"63,500",NAN,NAN,NAN,2020
SK하이닉스,000660,"83,600",15.73,1.19,1.94,2020
영풍,000670,"465,000",4.42,0.22,0.26,2020
LS네트웍스,000680,"2,110",NAN,NAN,NAN,2020
유수홀딩스,000700,"5,350",NAN,NAN,NAN,2020
현대건설,000720,"30,600",5.99,0.37,0.2,2020
이화산업,000760,"14,850",NAN,NAN,NAN,2020
삼성화재해상보험,000810,"179,500",10.71,0.58,NAN,2020
화천기공,000850,"30,550",NAN,NAN,NAN,2020
강남제비스코,000860,"15,550",NAN,NAN,NAN,2020
한화,000880,"24,700",2.41,0.1,0.04,2020
보해양조,000890,904,NAN,NAN,NAN,2020
유니온,000910,"7,550",NAN,NAN,NAN,2020
전방,000950,"26,800",NAN,NAN,NAN,2020
한국주철관공업,000970,"8,320",13.55,0.68,0.43,2020
DB하이텍,000990,"36,900",8.06,1.97,1.7,2020
페이퍼코리아,001020,"1,655",NAN,NAN,NAN,2020
CJ,001040,"81,400",3.89,0.16,0.07,2020
JW중외제약,001060,"35,750",NAN,NAN,NAN,2020
대한방직,001070,"34,000",NAN,NAN,NAN,2020
만호제강,001080,"14,700",46.93,0.26,0.31,2020
LG상사,001120,"15,400",1.77,0.32,0.06,2020
대한제분,001130,"159,500",NAN,NAN,NAN,2020
국보,001140,"2,220",NAN,NAN,NAN,2020
유진증권,001200,"3,565",NAN,NAN,NAN,2020
금호전기,001210,"4,625",NAN,NAN,NAN,2020
동국제강,001230,"6,090",-10.42,0.3,0.11,2020
GS글로벌,001250,"1,655",NAN,NAN,NAN,2020
남광토건,001260,"10,100",NAN,NAN,NAN,2020
부국증권,001270,"20,300",NAN,NAN,NAN,2020
상상인증권,001290,999,NAN,NAN,NAN,2020
백광산업,001340,"3,400",NAN,NAN,NAN,2020
삼성제약,001360,"3,840",NAN,NAN,NAN,2020
SG충방,001380,"1,780",NAN,NAN,NAN,2020
KG케미칼,001390,"19,900",NAN,NAN,NAN,2020
태원물산,001420,"3,900",NAN,NAN,NAN,2020
세아베스틸,001430,"9,710",11.05,0.17,0.14,2020
대한전선,001440,777,NAN,NAN,NAN,2020
현대해상,001450,"22,100",5.0,0.42,NAN,2020
BYC,001460,"219,000",NAN,NAN,NAN,2020
삼부토건,001470,"1,540",NAN,NAN,NAN,2020
현대차증권,001500,"10,100",3.24,0.28,1.06,2020
SK증권,001510,701,NAN,NAN,NAN,2020
동양,001520,"1,125",NAN,NAN,NAN,2020
디아이동일,001530,"90,000",NAN,NAN,NAN,2020
조비,001550,"20,800",NAN,NAN,NAN,2020
제일연마,001560,"6,580",NAN,NAN,NAN,2020
금양,001570,"4,940",NAN,NAN,NAN,2020
케이비아이동국실업,001620,616,NAN,NAN,NAN,2020
