Name,Code,Price,PER,PBR,PSR,Date,YoY,QoQ,EYoY,EQoQ,reg_date
동화약품,000020,19100,45.21,1.61,8.01,2020/09,9.29,0.16,,,2021-01-09 14:52:43
KR모터스,000040,1115,-68.13,1.74,3.51,2020/09,-1.03,-0.88,,,2021-01-09 14:52:43
경방,000050,12900,93.07,0.48,4.2,2020/09,0.09,0.45,,,2021-01-09 14:52:43
메리츠화재,000060,14750,15.11,0.61,0.73,2020/09,0.51,0.06,,,2021-01-09 14:52:43
삼양홀딩스,000070,78300,15.38,0.32,1.04,2020/09,0.7,0.88,,,2021-01-09 14:52:44
하이트진로,000080,34800,75.8,2.24,3.91,2020/09,0.31,0.19,0.09,-0.45,2021-01-09 14:52:44
유한양행,000100,76700,186.35,2.89,12.49,2020/09,5.18,-0.43,3.07,0.7,2021-01-09 14:52:44
CJ대한통운,000120,173000,83.08,1.04,1.42,2020/09,0.04,0.1,0.05,0.15,2021-01-09 14:52:44
하이트진로홀딩스,000140,15800,12.14,0.35,0.59,2020/09,0.31,0.18,,,2021-01-09 14:52:44
두산,000150,53800,-24.76,0.13,0.21,2020/09,0.2,26.52,,,2021-01-09 14:52:44
성창기업지주,000180,2285,79.69,0.3,3.92,2020/09,-2.58,0.19,,,2021-01-09 14:52:44
대림산업,000210,83000,12.61,0.4,1.3,2020/09,0.13,-0.19,0.01,0.51,2021-01-09 14:52:45
유유제약,000220,14200,101.36,1.0,3.97,2020/09,0.0,-0.12,,,2021-01-09 14:52:45
일동홀딩스,000230,14950,-32.55,0.54,1.12,2020/09,-0.36,-1.63,,,2021-01-09 14:52:45
한국테크놀로지그룹,000240,15000,21.5,0.4,6.31,2020/09,-0.11,5.09,1.67,-0.15,2021-01-09 14:52:45
기아자동차,000270,68300,207.08,0.95,1.7,2020/09,-0.33,0.34,0.66,4.01,2021-01-09 14:52:45
대유플러스,000300,790,31.22,0.73,0.69,2020/09,1.6,0.33,,,2021-01-09 14:52:45
노루홀딩스,000320,11400,14.57,0.26,0.71,2020/09,0.24,0.69,,,2021-01-09 14:52:45
한화손해보험,000370,3820,30.97,0.23,0.3,2020/09,6.39,-0.47,,,2021-01-09 14:52:45
삼화페인트공업,000390,14950,136.3,1.4,2.87,2020/09,0.62,-0.09,,,2021-01-09 14:52:46
대원강업,000430,4105,41.05,0.44,1.15,2020/09,0.94,-1.75,,,2021-01-09 14:52:46
조선내화,000480,83600,69.67,0.46,1.89,2020/09,1.3,-11.5,,,2021-01-09 14:52:46
대동공업,000490,7140,44.58,0.49,0.87,2020/09,-0.23,-0.78,,,2021-01-09 14:52:46
가온전선,000500,22800,94.85,0.36,0.48,2020/09,1.07,-0.46,,,2021-01-09 14:52:46
삼일제약,000520,20750,-694.61,2.11,4.47,2020/09,4.0,-0.52,,,2021-01-09 14:52:46
CS홀딩스,000590,60400,36.69,0.24,2.32,2020/09,-0.3,-0.4,,,2021-01-09 14:52:47
