"CJ프레시웨이","051500","16,750","20.71","0.69","0.07","2019"
"EDGC","245620","15,150","-63.72","11.46","9.67","2019"
"GST","083450","18,200","9.42","1.64","1.01","2019"
"GS홈쇼핑","028150","129,900","7.76","0.74","0.69","2019"
"ITX-AI","099520","2,320","-7.64","3.9","1.2","2019"
"JW신약","067290","6,540","194.64","4.13","2.66","2019"
"KB오토시스","024120","6,290","6.76","0.71","0.49","2019"
"KH바텍","060720","22,300","-44.58","2.8","2.54","2019"
"KMH","122450","13,900","12.79","0.64","1.22","2019"
"SK5호스팩","337450","2,010","NAN","1.56","NAN","2019"
"SK6호스팩","340350","1,995","NAN","1.05","NAN","2019"
"THE E&M","089230","614","-17.52","1.07","1.56","2019"
"TJ미디어","032540","2,790","43.19","0.5","0.52","2019"
"YW","051390","3,680","20.89","0.59","2.18","2019"
"갤럭시아컴즈","094480","4,410","19.66","1.89","2.02","2019"
"경창산업","024910","1,835","-0.86","0.71","0.12","2019"
"고려시멘트","198440","3,180","29.91","1.15","1.43","2019"
"골프존","215000","69,200","26.8","2.17","1.76","2019"
"교보8호스팩","307280","2,165","NAN","1.18","NAN","2019"
"국순당","043650","4,755","-10.23","0.41","0.83","2019"
"그리티","204020","3,295","41.49","0.89","0.54","2019"
"나노브릭","286750","24,300","-138.51","7.8","14.21","2019"
"나스미디어","089600","37,400","14.55","2.14","2.8","2019"
"네오티스","085910","3,875","28.45","0.98","1.01","2019"
"네이처셀","007390","10,450","710.48","7.81","27.68","2019"
"녹십자셀","031390","44,300","48.33","6.3","14.15","2019"
"뉴인텍","012340","2,090","-57.09","2.33","1.15","2019"
"뉴프렉스","085670","2,240","-4.94","0.96","0.37","2019"
"대봉엘에스","078140","12,000","21.46","1.57","1.91","2019"
"대유","290380","13,000","24.02","1.86","3.96","2019"
"대유에이피","290120","6,560","8.92","1.49","0.45","2019"
"대주산업","003310","2,000","39.32","1.36","0.84","2019"
"대한그린파워","060900","915","-10.47","4.43","6.6","2019"
"대한약품","023910","36,700","7.81","1.32","1.3","2019"
"동구바이오제약","006620","26,300","16.73","2.95","2.02","2019"
"동방선기","099410","3,225","-43.67","1.53","1.85","2019"
"디에이테크놀로지","196490","1,600","-4.42","1.4","0.85","2019"
"디에이피","066900","3,970","90.3","0.9","0.33","2019"
"디엔에이링크","127120","22,000","-19.27","26.03","16.19","2019"
"디엔에프","092070","14,200","69.46","1.69","2.6","2019"
"디오","039840","28,250","17.13","3.05","3.45","2019"
"디오스텍","196450","411","9.8","0.74","0.65","2019"
"디지틀조선","033130","2,795","29.64","1.34","3.07","2019"
"디케이앤디","263020","6,700","18.58","1.01","0.87","2019"
"루미마이크로","082800","1,465","-6.08","1.62","3.92","2019"
"룽투코리아","060240","5,510","87.57","1.9","4.65","2019"
"링크제니시스","219420","6,350","105.83","1.85","5.57","2019"
"마이크로텍","227950","2,785","-9.12","4.27","8.97","2019"
"메디톡스","086900","233,700","54.56","5.32","6.78","2019"
"메디포럼제약","047920","18,200","504.07","14.08","6.98","2019"
"메이슨캐피탈","021880","291","-6.87","0.77","9.02","2019"
"메탈라이프","327260","20,800","60.06","2.8","4.45","2019"
"모비스","250060","2,445","-131.1","2.34","6.5","2019"
"모트렉스","118990","3,380","-2.52","1.11","0.31","2019"
"미래SCI","028040","279","-0.61","0.74","0.85","2019"
"미스터블루","207760","11,950","24.4","6.83","4.58","2019"
"바디텍메드","206640","35,700","70.41","10.87","11.51","2019"
"바이넥스","053030","30,600","115.63","6.02","7.75","2019"
"브랜드엑스코퍼레이션","337930","13,500","25.22","13.41","2.99","2019"
"삼보판지","023600","8,140","4.1","0.33","0.36","2019"
"삼본전자","111870","1,550","-4.98","0.72","2.62","2019"
